croco diel 2015,Identified Proteins (1725),Accession Number,Molecular Weight,Protein Grouping Ambiguity,c02,c04,c06,c08,c10,c12,c14,c16,c18,c20,c22,c24
1,ZP_00518839 CwatDRAFT_0976 Chaperonin Cpn60/TCP-1 [Crocosphaera watsonii WH 8501],638434128,57 kDa,,546.02,357.97,304.73,281.17,357.23,406.79,449.89,496.72,557.03,525.2,367.71,317.55
2,ZP_00515235 CwatDRAFT_4696 Translation elongation factor Tu:Small GTP-binding protein domain [Crocosphaera watsonii WH 8501],638430522,45 kDa,,415.32,285.6,301.83,295.73,344.04,355.4,347.69,353.43,384.3,365.84,322.84,373.77
3,ZP_00517105 CwatDRAFT_2656 Blue (type 1) copper domain [Crocosphaera watsonii WH 8501],638432393,13 kDa,,341.75,299.29,160.59,76.173,81.516,65.611,97.644,77.373,129.8,118.27,105.56,73.964
4,ZP_00518423 CwatDRAFT_0663 Phycobilisome protein [Crocosphaera watsonii WH 8501],638433712,12 kDa,,294.31,307.11,253.46,351.74,335.65,281.04,283.81,282.75,291.29,267.61,247.19,212.03
5,ZP_00515581 CwatDRAFT_4305 Phycobilisome protein [Crocosphaera watsonii WH 8501],638430848,17 kDa,TRUE,259.46,128.13,105.45,117.62,167.83,120.29,110.42,102.21,157.4,141.32,88.848,90.729
6,ZP_00518849 CwatDRAFT_0407 Phycobilisome protein [Crocosphaera watsonii WH 8501],638434139,20 kDa,TRUE,187.82,222.02,241.85,304.69,145.05,227.45,208.98,202.51,101.19,121.28,194.41,258.38
7,ZP_00516814 CwatDRAFT_2714 Ribulose-bisphosphate carboxylase [Crocosphaera watsonii WH 8501],638432097,53 kDa,,112.3,137.91,165.43,181.47,73.124,71.079,120.46,118.45,72.567,82.188,139.87,144.97
8,"ZP_00516323 CwatDRAFT_3533 6-phosphogluconate dehydrogenase, decarboxylating [Crocosphaera watsonii WH 8501]",638431611,52 kDa,,168.45,161.38,166.39,175.87,187.01,247.14,267.38,254.09,155.36,192.44,147.79,136.09
9,ZP_00513753 CwatDRAFT_6138 Chaperonin Cpn60/TCP-1 [Crocosphaera watsonii WH 8501],638429008,59 kDa,,306.9,199.53,156.72,163.55,239.75,206.68,197.11,205.37,300.49,221.51,186.49,165.68
10,ZP_00515823 CwatDRAFT_4220 S-layer homology region [Crocosphaera watsonii WH 8501],638431060,73 kDa,TRUE,294.31,318.85,234.11,233,210.98,135.6,79.393,74.508,129.8,203.47,139.87,178.5
11,ZP_00518845 CwatDRAFT_0403 Phycobilisome protein [Crocosphaera watsonii WH 8501],638434134,17 kDa,,269.14,225.93,118.99,150.1,149.85,148.72,117.72,127.05,134.91,118.27,107.32,107.49
12,"ZP_00515582 CwatDRAFT_4306 Allophycocyanin, beta subunit [Crocosphaera watsonii WH 8501]",638430849,17 kDa,,271.07,220.06,187.68,236.36,179.81,186.99,166.09,161.43,137.98,168.39,175.06,175.54
13,ZP_00514022 CwatDRAFT_6498 Heat shock protein Hsp70 [Crocosphaera watsonii WH 8501],638429279,68 kDa,TRUE,356.27,194.64,178.97,176.99,215.78,188.09,196.2,193.91,240.19,229.53,197.05,201.18
14,"ZP_00517617 CwatDRAFT_2096 ATP synthase F1, beta subunit [Crocosphaera watsonii WH 8501]",638432895,52 kDa,,363.05,223.98,214.76,240.84,240.95,240.58,217.19,216.84,268.81,239.55,211.12,205.13
15,ZP_00518844 CwatDRAFT_0402 Phycobilisome protein [Crocosphaera watsonii WH 8501],638434133,19 kDa,TRUE,117.14,161.38,121.89,155.71,105.49,133.41,144.18,128.96,110.38,98.225,129.31,144.97
16,ZP_00516024 CwatDRAFT_3766 GlpX [Crocosphaera watsonii WH 8501],638431245,37 kDa,,198.47,170.18,182.84,147.86,118.68,113.73,103.12,112.72,122.65,124.28,167.14,202.17
17,"ZP_00516609 CwatDRAFT_3430 Phycocyanin, alpha subunit [Crocosphaera watsonii WH 8501]",638431903,18 kDa,,178.13,169.21,166.39,175.87,165.43,165.12,133.23,150.93,139,147.34,148.67,163.71
18,"ZP_00516608 CwatDRAFT_3429 Phycocyanin, beta subunit [Crocosphaera watsonii WH 8501]",638431902,18 kDa,,133.6,126.17,134.47,192.67,175.02,185.9,144.18,147.1,161.49,158.36,140.75,187.38
19,"ZP_00514509 CwatDRAFT_5431 Transketolase, central region:Transketolase, C terminal [Crocosphaera watsonii WH 8501]",638429769,44 kDa,,184.91,136.93,185.74,174.75,142.65,165.12,139.62,189.13,146.16,152.35,220.8,261.34
20,ZP_00518519 CwatDRAFT_1265 Translation elongation factor G:Small GTP-binding protein domain [Crocosphaera watsonii WH 8501],638433797,77 kDa,,160.71,129.1,136.4,104.18,101.89,108.26,105.86,112.72,100.16,114.26,128.43,116.37
21,ZP_00516050 CwatDRAFT_3959 DNA-directed RNA polymerase [Crocosphaera watsonii WH 8501],638431319,143 kDa,,103.59,115.41,118.02,108.66,110.29,131.22,110.42,128.96,114.47,134.31,124.91,129.19
22,"ZP_00514408 CwatDRAFT_5366 UvrB/UvrC protein:AAA ATPase, central region:Clp, N terminal:Clp, N terminal [Crocosphaera watsonii WH 8501]",638429668,91 kDa,TRUE,128.76,107.59,117.06,108.66,125.87,112.63,94.906,106.03,95.053,104.24,99.404,101.58
23,ZP_00517408 CwatDRAFT_2079 Transcriptional regulator AbrB [Crocosphaera watsonii WH 8501],638432670,14 kDa,,175.23,132.04,130.6,122.1,167.83,181.53,178.86,169.08,235.08,161.37,138.99,149.9
24,ZP_00515491 CwatDRAFT_4563 Polyribonucleotide nucleotidyltransferase [Crocosphaera watsonii WH 8501],638430827,78 kDa,,91.972,69.443,89.001,69.452,69.528,74.36,75.743,87.881,60.302,90.207,97.645,114.4
25,ZP_00515288 CwatDRAFT_4758 Phosphorylase [Crocosphaera watsonii WH 8501],638430636,97 kDa,TRUE,80.354,82.158,92.871,107.54,82.715,97.324,106.77,121.31,88.92,92.211,104.68,102.56
