GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	L0N930	arsB	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	165597	UniProt		C
UniProtKB	L0N930	arsB	located_in	GO:0016021	integral component of membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0812	165597	UniProt		C
UniProtKB	Q4BU65	CwatDRAFT_0085	enables	GO:0008452	RNA ligase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001233|InterPro:IPR036025	165597	InterPro		F
UniProtKB	Q4BU65	CwatDRAFT_0085	involved_in	GO:0006396	RNA processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001233|InterPro:IPR036025	165597	InterPro		P
UniProtKB	Q4BU65	CwatDRAFT_0085	enables	GO:0005525	GTP binding	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0342	165597	UniProt		F
UniProtKB	Q4BU65	CwatDRAFT_0085	enables	GO:0000166	nucleotide binding	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0547	165597	UniProt		F
UniProtKB	Q4BU65	CwatDRAFT_0085	enables	GO:0016874	ligase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0436	165597	UniProt		F
UniProtKB	Q4BU65	CwatDRAFT_0085	involved_in	GO:0008033	tRNA processing	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0819	165597	UniProt		P
UniProtKB	Q4BU65	CwatDRAFT_0085	enables	GO:0046872	metal ion binding	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0479	165597	UniProt		F
UniProtKB	Q4BU70	CwatDRAFT_0013	enables	GO:0003676	nucleic acid binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR036397	165597	InterPro		F
UniProtKB	Q4BU71	CwatDRAFT_0115	enables	GO:0003964	RNA-directed DNA polymerase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0695	165597	UniProt		F
UniProtKB	Q4BU71	CwatDRAFT_0115	involved_in	GO:0006278	RNA-dependent DNA biosynthetic process	ECO:0000366	IEA	GO_REF:0000108	GO:0003964	165597	GOC		P
UniProtKB	Q4BU72	CwatDRAFT_0114	enables	GO:0003964	RNA-directed DNA polymerase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0695	165597	UniProt		F
UniProtKB	Q4BU72	CwatDRAFT_0114	involved_in	GO:0006278	RNA-dependent DNA biosynthetic process	ECO:0000366	IEA	GO_REF:0000108	GO:0003964	165597	GOC		P
UniProtKB	Q4BU73	CwatDRAFT_0117	enables	GO:0016740	transferase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0808	165597	UniProt		F
UniProtKB	Q4BU76	CwatDRAFT_0224	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	165597	UniProt		C
UniProtKB	Q4BU76	CwatDRAFT_0224	located_in	GO:0016021	integral component of membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0812	165597	UniProt		C
UniProtKB	Q4BU82	CwatDRAFT_0071	enables	GO:0022857	transmembrane transporter activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001036	165597	InterPro		F
UniProtKB	Q4BU82	CwatDRAFT_0071	located_in	GO:0016020	membrane	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001036	165597	InterPro		C
UniProtKB	Q4BU82	CwatDRAFT_0071	involved_in	GO:0055085	transmembrane transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001036	165597	InterPro		P
UniProtKB	Q4BU82	CwatDRAFT_0071	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	165597	UniProt		C
UniProtKB	Q4BU82	CwatDRAFT_0071	located_in	GO:0016021	integral component of membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0812	165597	UniProt		C
UniProtKB	Q4BU86	CwatDRAFT_0063	located_in	GO:0016020	membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	165597	UniProt		C
UniProtKB	Q4BU86	CwatDRAFT_0063	located_in	GO:0016021	integral component of membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0812	165597	UniProt		C
UniProtKB	Q4BU88	CwatDRAFT_0100	enables	GO:0016491	oxidoreductase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003819	165597	InterPro		F
UniProtKB	Q4BU88	CwatDRAFT_0100	enables	GO:0016491	oxidoreductase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0560	165597	UniProt		F
UniProtKB	Q4BU94	CwatDRAFT_0091	involved_in	GO:0006751	glutathione catabolic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000101	165597	InterPro		P
UniProtKB	Q4BU94	CwatDRAFT_0091	enables	GO:0036374	glutathione hydrolase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000101	165597	InterPro		F
UniProtKB	Q4BU94	CwatDRAFT_0091	enables	GO:0016740	transferase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0808	165597	UniProt		F
UniProtKB	Q4BU94	CwatDRAFT_0091	enables	GO:0016746	acyltransferase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0012	165597	UniProt		F
UniProtKB	Q4BU94	CwatDRAFT_0091	enables	GO:0016787	hydrolase activity	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0378	165597	UniProt		F
