Croco diel,Identified Proteins (1170),Accession Number,Molecular Weight,Protein Grouping Ambiguity,151222_WH8501diel_T1_2ug,151222_WH8501diel_T2_2ug,151222_WH8501diel_T3_2ug,151222_WH8501diel_T4_2ug,151222_WH8501diel_T5_2ug,151222_WH8501diel_T6_2ug,151222_WH8501diel_T7_2ug,151222_WH8501diel_T8_2ug,151222_WH8501diel_T9_2ug,151222_WH8501diel_T10_2ug,151222_WH8501diel_T11_2ug,151222_WH8501diel_T12_2ug,151222_WH8501diel_T13_2ug,151222_WH8501diel_T14_2ug,151222_WH8501diel_T15_2ug,151222_WH8501diel_T16_2ug
1,ZP_00515823 CwatDRAFT_4220 S-layer homology region [Crocosphaera watsonii WH 8501],638431060,73 kDa,1,"2,032.40","2,143.90","2,344.40","2,464.30","2,358.20","2,207.40","2,275.20","2,550.60","2,545.40","2,591.60","1,479.20","2,481.00","2,168.60","1,887.10","1,943.30","2,109.70"
2,ZP_00515235 CwatDRAFT_4696 Translation elongation factor Tu:Small GTP-binding protein domain [Crocosphaera watsonii WH 8501],638430522,45 kDa,,950.65,"1,057.70","1,051.50",972.78,"1,172.90","1,154.00","1,219.30","1,099.30","1,067.00","1,142.00","1,223.20","1,152.10","1,017.00",987.51,"1,088.30","1,242.00"
3,ZP_00518839 CwatDRAFT_0976 Chaperonin Cpn60/TCP-1 [Crocosphaera watsonii WH 8501],638434128,57 kDa,,865.81,"1,036.00","1,057.50",995.02,"1,071.70","1,010.20","1,010.20","1,011.10",993.93,"1,032.90","1,092.20","1,313.30","1,064.90","1,097.50","1,048.30",998.8
4,ZP_00518849 CwatDRAFT_0407 Phycobilisome protein [Crocosphaera watsonii WH 8501],638434139,20 kDa,1,788.67,785.03,769.11,746.27,663.63,635.44,650.74,681.51,703.71,751.78,644.84,908.92,798.96,838.81,805.5,844.68
5,"ZP_00515582 CwatDRAFT_4306 Allophycocyanin, beta subunit [Crocosphaera watsonii WH 8501]",638430849,17 kDa,,577.53,669.5,767.11,644.14,647.54,658.8,712.36,711.22,598.97,814.62,653.7,972.64,788.69,839.85,828.35,769.62
6,"ZP_00516323 CwatDRAFT_3533 6-phosphogluconate dehydrogenase, decarboxylating [Crocosphaera watsonii WH 8501]",638431611,52 kDa,,313.35,368.37,364.53,467.18,621.03,786.43,938.29,898.77,839,665.8,625.35,673.57,523.89,370.71,320.87,362.29
7,"ZP_00514993 CwatDRAFT_4928 extracellular solute-binding protein, family 1 [Crocosphaera watsonii WH 8501]",638430258,40 kDa,,531.25,651.51,795.15,929.3,783.86,679.48,631.13,514.38,458.23,579.82,439.34,832.21,746.46,703.72,761.71,718.58
8,ZP_00513753 CwatDRAFT_6138 Chaperonin Cpn60/TCP-1 [Crocosphaera watsonii WH 8501],638429008,59 kDa,,540.89,604.16,579.84,569.31,645.64,642.63,629.26,612.8,481.14,513.68,528.81,548.74,521.61,552.92,585.56,629.51
9,"ZP_00517617 CwatDRAFT_2096 ATP synthase F1, beta subunit [Crocosphaera watsonii WH 8501]",638432895,52 kDa,,483.04,528.4,437.63,463.13,483.76,551.85,517.23,476.31,453.87,488.33,558.92,604.65,542.15,670.21,660.78,560.45
10,ZP_00514505 CwatDRAFT_5427 conserved hypothetical protein [Crocosphaera watsonii WH 8501],638429765,22 kDa,,119.55,246.21,673.98,758.4,717.59,677.68,655.41,648.08,608.79,625.02,418.08,901.12,643.74,300.55,148.53,142.11
11,"ZP_00514509 CwatDRAFT_5431 Transketolase, central region:Transketolase, C terminal [Crocosphaera watsonii WH 8501]",638429769,44 kDa,,391.44,457.38,429.62,397.4,461.04,356.81,318.37,384.39,451.69,450.85,519.95,348.49,436,492.18,549.38,426.34
12,ZP_00518844 CwatDRAFT_0402 Phycobilisome protein [Crocosphaera watsonii WH 8501],638434133,19 kDa,1,435.8,388.25,381.55,350.89,383.41,359.51,381.85,333.33,279.3,410.06,429.6,412.2,400.62,490.09,594.13,560.45
13,"ZP_00514408 CwatDRAFT_5366 UvrB/UvrC protein:AAA ATPase, central region:Clp, N terminal:Clp, N terminal [Crocosphaera watsonii WH 8501]",638429668,91 kDa,1,362.52,450.75,395.57,399.43,414.65,391.87,357.58,348.18,389.5,324.08,350.77,318.58,384.64,357.09,367.52,468.38
14,"ZP_00514003 CwatDRAFT_6289 ATP synthase F1, alpha subunit [Crocosphaera watsonii WH 8501]",638429260,54 kDa,,280.57,309.65,314.46,266.96,345.54,345.13,317.43,309.19,332.76,318.57,340.14,313.38,333.28,342.43,401.8,476.38
15,ZP_00517273 CwatDRAFT_2983 hypothetical protein [Crocosphaera watsonii WH 8501],638432543,18 kDa,,298.89,384.46,424.62,425.72,252.77,354.12,441.6,440.1,313.13,424.39,288.76,496.72,482.8,502.65,331.34,317.26
16,ZP_00516814 CwatDRAFT_2714 Ribulose-bisphosphate carboxylase [Crocosphaera watsonii WH 8501],638432097,53 kDa,,261.28,231.06,201.29,179.99,213.01,186.95,172.72,196.84,358.95,369.28,551.84,403.1,367.52,290.07,235.18,261.21
17,"ZP_00516753 CwatDRAFT_3318 Ketose-bisphosphate aldolase, class-II:Fructose-bisphosphate aldolase, class II, Calvin cycle subtype [Crocosphaera watsonii WH 8501]",638432032,39 kDa,,448.33,353.21,279.4,179.99,135.38,150.99,115.77,107.7,93.828,95.902,183.35,170.34,196.32,359.19,475.11,516.42
18,ZP_00518423 CwatDRAFT_0663 Phycobilisome protein [Crocosphaera watsonii WH 8501],638433712,12 kDa,,488.82,381.62,343.5,236.62,257.5,300.19,318.37,338.9,223.66,395.73,411,379.69,275.07,385.37,384.66,323.26
19,ZP_00515581 CwatDRAFT_4305 Phycobilisome protein [Crocosphaera watsonii WH 8501],638430848,17 kDa,1,196.69,211.17,228.33,202.24,213.01,221.1,224.07,216.34,182.2,254.64,266.62,345.89,262.52,303.69,286.59,250.2
20,ZP_00518519 CwatDRAFT_1265 Translation elongation factor G:Small GTP-binding protein domain [Crocosphaera watsonii WH 8501],638433797,77 kDa,,267.07,276.51,244.35,229.54,261.29,266.94,258.61,251.62,295.67,274.48,355.19,263.97,311.6,308.92,325.63,344.28
21,ZP_00518229 CwatDRAFT_1063 Phycobilisome linker polypeptide:Phycobilisome protein [Crocosphaera watsonii WH 8501],638433519,101 kDa,,255.5,233.9,215.31,239.66,321.87,318.17,305.3,284.12,339.31,272.27,414.54,178.14,238.55,222.01,212.33,227.18
22,ZP_00516024 CwatDRAFT_3766 GlpX [Crocosphaera watsonii WH 8501],638431245,37 kDa,,326.85,284.09,252.37,204.26,227.21,235.48,205.4,183.84,199.66,251.33,280.79,275.67,261.37,314.16,307.54,355.29
23,ZP_00514680 CwatDRAFT_5524 Phosphoglycerate kinase [Crocosphaera watsonii WH 8501],638429942,42 kDa,,285.39,267.99,266.39,233.59,263.18,246.27,218.47,215.41,213.84,228.18,232.07,218.45,273.93,271.22,316.11,351.28
24,"ZP_00516608 CwatDRAFT_3429 Phycocyanin, beta subunit [Crocosphaera watsonii WH 8501]",638431902,18 kDa,,174.51,185.6,168.24,140.56,131.59,137.51,139.11,181.05,183.29,194.01,318.88,321.18,210.01,262.85,276.12,228.18
25,ZP_00515288 CwatDRAFT_4758 Phosphorylase [Crocosphaera watsonii WH 8501],638430636,97 kDa,1,153.3,139.2,141.2,186.06,214.9,243.57,276.35,275.76,300.03,229.28,209.93,170.34,192.89,144.51,105.69,102.08
26,ZP_00514960 CwatDRAFT_5181 S-adenosyl-L-homocysteine hydrolase [Crocosphaera watsonii WH 8501],638430223,46 kDa,,185.12,177.08,145.21,141.57,161.88,164.48,158.72,180.13,223.66,214.95,355.19,241.86,305.89,320.44,338.01,304.24
27,ZP_00516246 CwatDRAFT_3658 Oxidoreductase FAD/NAD(P)-binding:CpcD phycobilisome linker-like [Crocosphaera watsonii WH 8501],638431519,46 kDa,,96.415,106.06,127.18,138.53,216.79,225.59,203.53,225.62,213.84,185.19,223.21,189.85,180.34,169.65,165.67,155.12
28,"ZP_00516609 CwatDRAFT_3430 Phycocyanin, alpha subunit [Crocosphaera watsonii WH 8501]",638431903,18 kDa,,269.96,267.04,245.36,215.39,216.79,202.22,211,227.48,206.2,241.41,291.42,312.08,262.52,303.69,351.34,287.23
29,ZP_00517024 CwatDRAFT_2390 Ribosomal protein L5:Ribosomal protein L5 [Crocosphaera watsonii WH 8501],638432303,20 kDa,,192.83,201.7,221.32,198.2,245.19,203.12,214.73,220.05,213.84,197.32,161.21,192.45,190.61,188.5,247.55,277.22
30,ZP_00516112 CwatDRAFT_3782 Transaldolase AB [Crocosphaera watsonii WH 8501],638431397,43 kDa,,64.598,72.916,170.25,228.53,274.54,289.41,289.42,267.4,254.21,237,242.7,308.18,227.13,186.4,122.82,97.078
31,ZP_00515383 CwatDRAFT_4858 Manganese-stabilizing protein/photosystem II polypeptide [Crocosphaera watsonii WH 8501],638430496,30 kDa,,225.61,270.83,263.38,283.14,279.27,237.28,196.99,187.55,156.02,132.28,148.81,118.33,136.96,132.99,215.18,234.19
32,ZP_00515491 CwatDRAFT_4563 Polyribonucleotide nucleotidyltransferase [Crocosphaera watsonii WH 8501],638430827,78 kDa,,162.94,164.77,146.21,162.8,166.62,193.24,169.92,185.7,196.39,176.37,240.04,137.83,192.89,162.32,175.19,211.17
33,ZP_00516388 CwatDRAFT_3820 Nitrogenase molybdenum-iron protein beta chain [Crocosphaera watsonii WH 8501],638431671,57 kDa,,0,0,3.0044,43.482,126.86,204.92,390.26,552.45,604.43,296.52,108.06,42.911,11.414,2.0944,0,0
34,ZP_00514344 CwatDRAFT_5912 S-layer homology region [Crocosphaera watsonii WH 8501],638429603,65 kDa,1,183.19,196.97,239.35,303.36,254.66,213.91,217.53,268.33,282.58,304.24,110.72,306.88,231.7,179.07,182.81,223.18
35,ZP_00516050 CwatDRAFT_3959 DNA-directed RNA polymerase [Crocosphaera watsonii WH 8501],638431319,143 kDa,,133.05,143.94,161.23,152.69,147.68,142.91,145.65,160.63,185.47,168.66,230.3,117.03,148.38,99.484,97.117,116.09
36,ZP_00515964 CwatDRAFT_4146 Glucose-6-phosphate isomerase [Crocosphaera watsonii WH 8501],638431232,58 kDa,,193.79,155.3,158.23,175.95,166.62,198.63,153.11,123.49,144.02,170.86,196.64,304.28,248.82,282.74,252.31,190.15
37,"ZP_00515803 CwatDRAFT_4199 Ribosomal protein S2, bacterial and organelle form [Crocosphaera watsonii WH 8501]",638431092,31 kDa,,228.5,236.74,249.36,218.42,170.4,151.89,182.06,265.55,288.03,225.98,98.321,221.05,210.01,173.83,113.3,134.11
38,ZP_00516386 CwatDRAFT_3818 Nitrogenase iron protein [Crocosphaera watsonii WH 8501],638431669,32 kDa,,13.498,13.257,23.033,60.672,157.15,246.27,393.99,414.1,438.59,371.48,256.87,169.04,106.15,54.454,24.755,23.019
39,ZP_00517035 CwatDRAFT_2401 DNA-directed RNA polymerase [Crocosphaera watsonii WH 8501],638432314,35 kDa,,149.44,185.6,189.27,155.73,180.82,168.07,175.52,145.77,146.2,175.27,201.07,198.95,218,197.92,268.5,253.2
40,ZP_00513842 CwatDRAFT_6588 S-layer homology region [Crocosphaera watsonii WH 8501],638429097,45 kDa,,309.49,421.4,491.71,327.63,100.35,9.8866,0,0.92849,2.1821,20.944,23.03,111.83,208.87,256.56,314.2,362.29
41,ZP_00516278 CwatDRAFT_3616 Serine--glyoxylate transaminase [Crocosphaera watsonii WH 8501],638431543,41 kDa,,184.15,162.88,151.22,161.79,157.15,134.82,153.11,182.91,232.39,244.72,149.7,213.25,225.99,189.54,151.39,141.11
42,ZP_00517865 CwatDRAFT_1905 SecA protein [Crocosphaera watsonii WH 8501],638433152,107 kDa,,175.48,176.13,152.22,152.69,148.63,137.51,139.11,125.35,154.93,119.05,131.98,105.33,122.13,124.62,132.35,159.13
43,ZP_00514990 CwatDRAFT_5161 Acetylornithine and succinylornithine aminotransferase [Crocosphaera watsonii WH 8501],638430255,46 kDa,,116.66,124.05,194.28,216.4,219.63,239.97,253.01,256.26,252.03,252.43,105.41,271.77,186.04,124.62,105.69,82.066
44,"ZP_00516049 CwatDRAFT_3958 DNA-directed RNA polymerase, beta subunit [Crocosphaera watsonii WH 8501]",638431320,124 kDa,,132.09,133.52,121.18,131.46,145.79,142.91,148.45,154.13,166.93,132.28,220.56,88.422,124.41,93.201,111.4,125.1
45,ZP_00518419 CwatDRAFT_0658 Phycobilisome linker polypeptide:CpcD phycobilisome linker-like [Crocosphaera watsonii WH 8501],638433706,29 kDa,1,161.98,165.72,151.22,147.64,190.28,185.15,173.65,181.05,164.75,160.94,189.55,143.04,143.81,144.51,209.47,214.17
46,ZP_00517408 CwatDRAFT_2079 Transcriptional regulator AbrB [Crocosphaera watsonii WH 8501],638432670,14 kDa,,161.98,190.34,163.24,179.99,175.14,168.07,173.65,169.91,137.47,162.04,145.27,217.15,167.78,211.53,292.3,288.23
47,ZP_00516537 CwatDRAFT_3414 RNA binding S1 [Crocosphaera watsonii WH 8501],638431804,38 kDa,,140.77,136.36,159.23,153.7,146.74,162.68,161.52,112.35,121.1,145.51,93.006,217.15,174.63,169.65,168.53,176.14
48,ZP_00518803 CwatDRAFT_1519 Transcriptional regulator AbrB [Crocosphaera watsonii WH 8501],638434092,17 kDa,,112.81,141.1,160.23,163.82,143.9,124.03,148.45,163.41,160.38,162.04,97.435,197.65,152.94,154.99,149.48,155.12
49,ZP_00518845 CwatDRAFT_0403 Phycobilisome protein [Crocosphaera watsonii WH 8501],638434134,17 kDa,,198.61,145.83,120.17,93.031,113.6,120.44,127.91,132.77,108.01,156.53,261.3,182.04,138.11,197.92,282.78,224.18
50,ZP_00516458 CwatDRAFT_3080 Glucose-6-phosphate dehydrogenase [Crocosphaera watsonii WH 8501],638431745,61 kDa,,53.992,50.189,82.119,145.61,194.07,204.02,204.46,195.91,208.39,162.04,209.93,94.923,109.57,87.965,70.458,54.043
51,ZP_00514022 CwatDRAFT_6498 Heat shock protein Hsp70 [Crocosphaera watsonii WH 8501],638429279,68 kDa,1,160.05,159.09,147.21,128.42,133.48,120.44,103.63,119.77,113.47,139.99,150.58,161.24,155.23,148.7,162.81,173.14
52,ZP_00514443 CwatDRAFT_5390 Glucose-methanol-choline oxidoreductase [Crocosphaera watsonii WH 8501],638429703,56 kDa,,55.921,53.029,64.093,74.829,79.522,79.991,71.889,64.994,86.191,68.344,85.034,46.812,66.2,46.077,36.181,39.031
53,ZP_00518984 CwatDRAFT_0550 5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase [Crocosphaera watsonii WH 8501],638434273,88 kDa,,175.48,127.84,103.15,79.885,75.735,71.003,63.487,71.493,104.74,98.107,108.95,68.917,124.41,175.93,138.06,135.11
54,"ZP_00518407 CwatDRAFT_0980 Glyceraldehyde-3-phosphate dehydrogenase, type I [Crocosphaera watsonii WH 8501]",638433693,36 kDa,,191.87,180.87,169.25,126.4,126.86,113.25,100.83,109.56,103.65,114.64,136.41,96.224,146.1,190.59,223.75,258.21
55,"ZP_00517065 CwatDRAFT_2449 Ribosomal protein L14, bacterial and organelle form [Crocosphaera watsonii WH 8501]",638432355,11 kDa,,146.55,150.57,146.21,144.6,152.42,116.84,137.24,139.27,102.56,112.44,90.349,136.53,128.98,129.85,187.57,193.16
56,ZP_00514196 CwatDRAFT_6395 D-3-phosphoglycerate dehydrogenase [Crocosphaera watsonii WH 8501],638429454,57 kDa,,104.13,121.21,111.16,124.38,113.6,120.44,127.91,116.06,142.92,114.64,121.35,91.022,115.28,105.77,117.11,128.1
57,ZP_00513792 CwatDRAFT_6160 Sigma 54 modulation protein/ribosomal protein S30EA [Crocosphaera watsonii WH 8501],638429047,23 kDa,,107.98,95.642,86.125,104.15,103.19,97.967,110.17,154.13,108.01,127.87,79.719,110.53,111.85,109.96,99.974,71.057
58,ZP_00518524 CwatDRAFT_1037 Triosephosphate isomerase [Crocosphaera watsonii WH 8501],638433813,27 kDa,,124.38,127.84,154.22,148.65,151.47,134.82,124.17,109.56,101.47,130.07,93.006,165.14,157.51,139.28,181.86,187.15
59,"ZP_00514665 CwatDRAFT_5742 Carbamoyl-phosphate synthase, large subunit, glutamine-dependent [Crocosphaera watsonii WH 8501]",638429927,119 kDa,,103.16,94.696,95.138,112.24,129.7,113.25,107.37,102.13,122.2,88.186,102.75,49.412,83.32,82.729,73.314,84.068
60,ZP_00514727 CwatDRAFT_5718 Phycobilisome linker polypeptide:CpcD phycobilisome linker-like [Crocosphaera watsonii WH 8501],638429989,28 kDa,,91.594,100.38,113.16,115.28,142.95,149.2,141.91,129.06,145.11,125.66,179.81,111.83,116.42,109.96,119.97,137.11
61,ZP_00519311 CwatDRAFT_0123 Photosystem II protein [Crocosphaera watsonii WH 8501],638434600,56 kDa,,112.81,130.68,130.19,153.7,166.62,150.99,140.98,141.13,170.2,156.53,178.04,118.33,148.38,134.04,127.59,165.13
62,"ZP_00516387 CwatDRAFT_3819 Nitrogenase molybdenum-iron protein alpha chain:Nitrogenase component I, alpha chain [Crocosphaera watsonii WH 8501]",638431670,54 kDa,,0.96415,1.8939,0,5.056,53.961,119.54,228.74,234.91,289.12,144.4,66.433,13.003,4.5655,2.0944,0.95213,2.0016
63,ZP_00514491 CwatDRAFT_5417 Glutamate synthase (NADPH) [Crocosphaera watsonii WH 8501],638429751,170 kDa,,44.351,51.136,77.112,103.14,155.26,150.1,131.64,122.56,122.2,104.72,124.89,41.61,59.351,34.558,20.947,23.019
64,"ZP_00515183 CwatDRAFT_5048 N-acetylmuramoyl-L-alanine amidase, periplasmic protein [Crocosphaera watsonii WH 8501]",638430448,41 kDa,,86.773,118.37,128.19,135.5,126.86,107.85,91.495,127.2,94.92,106.93,43.403,97.524,93.593,80.634,94.261,106.09
65,ZP_00514728 CwatDRAFT_5717 Phycobilisome linker polypeptide:CpcD phycobilisome linker-like [Crocosphaera watsonii WH 8501],638429990,33 kDa,1,67.49,68.181,71.103,68.762,89.936,88.979,86.827,77.064,79.645,93.697,130.21,81.92,83.32,69.115,79.027,78.063
66,ZP_00516641 CwatDRAFT_3141 Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen [Crocosphaera watsonii WH 8501],638431930,21 kDa,,91.594,83.332,78.113,80.896,110.76,113.25,110.17,111.42,87.282,108.03,153.24,123.53,124.41,122.52,142.82,134.11
67,ZP_00516313 CwatDRAFT_3489 Extracellular ligand-binding receptor [Crocosphaera watsonii WH 8501],638431558,45 kDa,,107.98,129.73,150.22,142.58,154.31,134.82,131.64,117.92,111.28,109.13,62.004,128.73,109.57,119.38,124.73,127.1
68,"ZP_00514038 CwatDRAFT_6305 Glycoside hydrolase, family 77 [Crocosphaera watsonii WH 8501]",638429295,58 kDa,,88.702,99.43,59.086,88.986,94.669,97.068,93.363,64.994,105.83,101.41,156.78,44.211,68.482,69.115,67.601,69.056
69,ZP_00516688 CwatDRAFT_2992 stress protein [Crocosphaera watsonii WH 8501],638431966,21 kDa,1,99.307,117.42,109.16,108.2,100.35,103.36,100.83,102.13,76.372,100.31,69.09,83.221,71.907,81.681,111.4,118.1
70,ZP_00517974 CwatDRAFT_1326 NAD-dependent epimerase/dehydratase [Crocosphaera watsonii WH 8501],638433261,37 kDa,,159.08,144.88,144.21,116.29,82.362,61.117,45.748,48.281,51.278,54.014,69.09,107.93,131.26,183.26,166.62,182.15
71,ZP_00514296 CwatDRAFT_5294 microcompartments protein [Crocosphaera watsonii WH 8501],638429555,12 kDa,1,179.33,142.04,110.16,71.795,45.441,44.04,41.08,45.496,79.645,136.69,115.15,214.55,187.19,168.6,199.95,199.16
72,ZP_00514264 CwatDRAFT_5271 Glutamine synthetase type I [Crocosphaera watsonii WH 8501],638429523,53 kDa,,95.451,93.749,82.119,84.941,102.24,122.23,116.7,94.706,115.65,108.03,186.9,98.824,118.7,98.437,99.022,99.08
73,ZP_00516076 CwatDRAFT_3907 DegT/DnrJ/EryC1/StrS aminotransferase [Crocosphaera watsonii WH 8501],638431364,41 kDa,,74.24,90.908,112.16,85.952,77.629,73.7,67.221,59.423,70.917,54.014,26.573,89.722,84.462,70.162,62.841,77.062
74,ZP_00516459 CwatDRAFT_3081 OpcA [Crocosphaera watsonii WH 8501],638431746,50 kDa,,52.064,52.083,66.096,124.38,163.78,185.15,185.79,174.56,186.57,130.07,149.7,106.63,85.603,69.115,49.511,58.047
75,ZP_00517225 CwatDRAFT_2700 Initiation factor 2:Small GTP-binding protein domain [Crocosphaera watsonii WH 8501],638432504,110 kDa,,80.989,86.173,84.122,96.064,97.509,108.75,93.363,121.63,134.2,87.083,130.21,46.812,74.189,51.313,44.75,39.031
76,ZP_00513714 CwatDRAFT_6652 Aconitate hydratase 2 [Crocosphaera watsonii WH 8501],638428969,95 kDa,,52.064,45.454,59.086,69.773,80.469,96.169,69.088,66.851,62.189,46.298,75.291,44.211,54.786,58.643,39.037,28.023
77,"ZP_00515426 CwatDRAFT_4491 Insulinase-like:Peptidase M16, C-terminal [Crocosphaera watsonii WH 8501]",638430711,56 kDa,,80.024,88.067,113.16,104.15,110.76,118.64,108.3,99.348,86.191,98.107,59.347,162.54,114.14,102.63,83.788,67.054
78,"ZP_00516244 CwatDRAFT_3711 Heat shock protein Hsp90:ATP-binding region, ATPase-like [Crocosphaera watsonii WH 8501]",638431488,76 kDa,,85.809,82.385,68.099,57.639,71.002,68.307,67.221,78.921,87.282,80.469,96.549,75.419,86.744,82.729,84.74,95.077
79,ZP_00514298 CwatDRAFT_5296 Carbonate dehydratase [Crocosphaera watsonii WH 8501],638429557,73 kDa,,88.702,92.802,85.123,73.818,76.682,62.914,51.349,79.85,123.29,141.1,193.98,85.821,141.53,109.96,94.261,81.065
80,ZP_00517223 CwatDRAFT_2698 Transcription termination factor NusA [Crocosphaera watsonii WH 8501],638432502,48 kDa,,107.02,130.68,116.17,106.18,88.042,70.105,84.96,95.634,94.92,78.265,38.974,83.221,83.32,72.257,76.171,101.08
81,"ZP_00515318 CwatDRAFT_4789 Peptidase S41A, C-terminal protease [Crocosphaera watsonii WH 8501]",638430622,48 kDa,,126.3,150.57,161.23,120.33,80.469,60.218,46.681,48.281,50.187,57.321,63.775,91.022,108.43,118.33,124.73,135.11
82,ZP_00513837 CwatDRAFT_6188 Nucleoside-diphosphate kinase [Crocosphaera watsonii WH 8501],638429092,16 kDa,,67.49,71.969,84.122,82.919,66.268,71.003,64.42,91.92,81.827,73.856,33.659,55.914,67.341,61.785,49.511,66.053
83,ZP_00516996 CwatDRAFT_3021 hypothetical protein [Crocosphaera watsonii WH 8501],638432277,16 kDa,,75.204,102.27,107.16,118.31,134.43,105.16,85.894,82.635,77.463,81.572,58.461,122.23,102.72,100.53,101.88,82.066
84,"ZP_00513884 CwatDRAFT_6216 Glycoside hydrolase, family 57 [Crocosphaera watsonii WH 8501]",638429139,87 kDa,,78.096,62.499,55.08,58.65,54.908,58.421,50.416,49.21,67.644,65.037,89.463,48.112,106.15,86.917,51.415,51.041
85,ZP_00516816 CwatDRAFT_2716 Ribulose-bisphosphate carboxylase [Crocosphaera watsonii WH 8501],638432099,13 kDa,,106.06,91.855,89.129,59.661,60.588,53.028,55.084,65.923,53.46,85.981,95.663,133.93,126.69,157.08,200.9,150.12
86,ZP_00517026 CwatDRAFT_2392 Ribosomal protein L6 [Crocosphaera watsonii WH 8501],638432305,19 kDa,,77.132,80.491,72.104,68.762,90.882,77.295,91.495,84.492,88.373,71.651,90.349,76.719,82.179,78.54,111.4,130.1
87,"ZP_00517435 CwatDRAFT_2328 AAA ATPase, central region:Clp, N terminal:Clp, N terminal [Crocosphaera watsonii WH 8501]",638432717,99 kDa,1,103.16,81.438,57.083,50.56,42.601,41.344,41.08,38.996,45.823,39.684,39.86,52.013,58.21,71.209,65.697,59.048
88,ZP_00513910 CwatDRAFT_6547 Ammonium transporter [Crocosphaera watsonii WH 8501],638429165,52 kDa,,41.458,69.128,66.096,74.829,116.44,113.25,102.7,91.92,91.646,78.265,89.463,54.613,51.362,52.36,44.75,46.037
89,ZP_00517797 CwatDRAFT_3061 surface antigen (D15):Surface antigen variable number [Crocosphaera watsonii WH 8501],638433078,95 kDa,,74.24,80.491,102.15,112.24,105.08,97.967,87.761,106.78,93.828,91.493,17.715,106.63,87.886,56.549,59.032,72.058
90,"ZP_00515917 CwatDRAFT_3989 extracellular solute-binding protein, family 3 [Crocosphaera watsonii WH 8501]",638431185,38 kDa,,74.24,84.279,91.132,97.076,142,99.764,87.761,88.206,102.56,115.74,41.631,113.13,93.593,67.021,50.463,64.052
91,"ZP_00516370 CwatDRAFT_3583 Isocitrate dehydrogenase NADP-dependent, prok type [Crocosphaera watsonii WH 8501]",638431641,55 kDa,,62.67,71.969,58.084,66.739,70.055,59.319,55.084,58.495,64.371,57.321,66.433,29.907,52.503,50.265,43.798,45.036
92,ZP_00517105 CwatDRAFT_2656 Blue (type 1) copper domain [Crocosphaera watsonii WH 8501],638432393,13 kDa,,41.458,35.984,45.065,64.717,47.335,48.534,47.615,68.708,42.55,63.935,19.487,65.016,42.231,36.652,34.277,30.024
93,ZP_00515804 CwatDRAFT_4200 Elongation factor Ts [Crocosphaera watsonii WH 8501],638431091,27 kDa,,63.634,68.181,50.073,46.515,42.601,36.85,37.345,42.71,40.368,49.604,54.918,50.713,54.786,68.068,65.697,60.048
