Entry	Entry name	Gene names	Organism	Length
Q4CAH7	Q4CAH7_CROWT	CwatDRAFT_6631	Crocosphaera watsonii WH 8501	98
Q4BV78	Q4BV78_CROWT	CwatDRAFT_0571	Crocosphaera watsonii WH 8501	122
Q4CAC3	Q4CAC3_CROWT	CwatDRAFT_6603	Crocosphaera watsonii WH 8501	468
Q4BXX2	Q4BXX2_CROWT	rpsU rps21 CwatDRAFT_1379	Crocosphaera watsonii WH 8501	61
Q4C727	Q4C727_CROWT	lspA CwatDRAFT_4912	Crocosphaera watsonii WH 8501	153
Q4BX87	Q4BX87_CROWT	CwatDRAFT_1267	Crocosphaera watsonii WH 8501	105
Q4CA21	Q4CA21_CROWT	CwatDRAFT_6546	Crocosphaera watsonii WH 8501	546
Q4CAG7	Q4CAG7_CROWT	glmS CwatDRAFT_6625	Crocosphaera watsonii WH 8501	628
Q4C729	Q4C729_CROWT	bioB CwatDRAFT_4910	Crocosphaera watsonii WH 8501	368
Q4CAM7	Q4CAM7_CROWT	ctaB CwatDRAFT_6661	Crocosphaera watsonii WH 8501	314
Q4C2U2	Q4C2U2_CROWT	CwatDRAFT_4037	Crocosphaera watsonii WH 8501	72
Q4C3I7	Q4C3I7_CROWT	leuS CwatDRAFT_3636	Crocosphaera watsonii WH 8501	853
Q4C524	Q4C524_CROWT	CwatDRAFT_4406	Crocosphaera watsonii WH 8501	308
Q4BVF9	Q4BVF9_CROWT	alaS CwatDRAFT_0388	Crocosphaera watsonii WH 8501	615
Q4BZQ8	Q4BZQ8_CROWT	CwatDRAFT_2465	Crocosphaera watsonii WH 8501	195
Q4BY36	Q4BY36_CROWT	CwatDRAFT_1634	Crocosphaera watsonii WH 8501	140
Q4C0U7	Q4C0U7_CROWT	CwatDRAFT_2671	Crocosphaera watsonii WH 8501	116
Q4C061	Q4C061_CROWT	CwatDRAFT_2104	Crocosphaera watsonii WH 8501	409
Q4BUJ3	Q4BUJ3_CROWT	CwatDRAFT_0344	Crocosphaera watsonii WH 8501	255
Q4BVT1	Q4BVT1_CROWT	CwatDRAFT_0732	Crocosphaera watsonii WH 8501	218
Q4C4P2	Q4C4P2_CROWT	CwatDRAFT_4175	Crocosphaera watsonii WH 8501	226
Q4BX12	Q4BX12_CROWT	CwatDRAFT_1144	Crocosphaera watsonii WH 8501	80
Q4C8K7	Q4C8K7_CROWT	CwatDRAFT_5871	Crocosphaera watsonii WH 8501	279
Q4BWB5	Q4BWB5_CROWT	CwatDRAFT_0830	Crocosphaera watsonii WH 8501	703
Q4BYN6	Q4BYN6_CROWT	CwatDRAFT_1752	Crocosphaera watsonii WH 8501	578
Q4BYR8	Q4BYR8_CROWT	CwatDRAFT_1921	Crocosphaera watsonii WH 8501	99
Q4C864	Q4C864_CROWT	CwatDRAFT_5459	Crocosphaera watsonii WH 8501	348
Q4BVP8	Q4BVP8_CROWT	CwatDRAFT_0802	Crocosphaera watsonii WH 8501	103
Q4C4L1	Q4C4L1_CROWT	CwatDRAFT_4201	Crocosphaera watsonii WH 8501	294
Q4CB35	Q4CB35_CROWT	cbiD CwatDRAFT_6013	Crocosphaera watsonii WH 8501	375
Q4C5S0	Q4C5S0_CROWT	CwatDRAFT_4649	Crocosphaera watsonii WH 8501	107
Q4BVX6	Q4BVX6_CROWT	CwatDRAFT_0823	Crocosphaera watsonii WH 8501	193
Q4C8R6	Q4C8R6_CROWT	CwatDRAFT_5332	Crocosphaera watsonii WH 8501	113
Q4C9Q1	Q4C9Q1_CROWT	CwatDRAFT_6302	Crocosphaera watsonii WH 8501	311
Q4C6D8	Q4C6D8_CROWT	CwatDRAFT_5065	Crocosphaera watsonii WH 8501	149
Q4C250	Q4C250_CROWT	CwatDRAFT_2751	Crocosphaera watsonii WH 8501	585
Q4BWX1	Q4BWX1_CROWT	fusA CwatDRAFT_1265	Crocosphaera watsonii WH 8501	697
Q4CAP1	Q4CAP1_CROWT	CwatDRAFT_6669	Crocosphaera watsonii WH 8501	266
Q4BXH9	Q4BXH9_CROWT	CwatDRAFT_1885	Crocosphaera watsonii WH 8501	158
